No. of Adults,No. of Children,No. of Infants,Type of Journey (O = one way R = Return),Payment Amount,No. of days prior to departure
3,0,0,O,12372.56,32.08322917
2,2,0,R,7602.05,35.57612269
2,0,0,R,7602.53,66.24728009
2,0,0,R,9978.35,104.3097917
1,0,0,R,8678.82,15.42677083
1,0,0,O,4950.09,1.418298611
3,0,0,R,24199.74,21.19512731
4,2,0,O,10875.2,171.0387037
2,0,0,O,10809.2,171.0141551
1,0,0,O,4950.09,5.627905093
1,0,0,R,8566.58,26.2284375
1,0,0,R,8678.82,5.498553241
1,0,0,O,4900.2,1.963344907
2,0,0,O,9836,2.575625
2,0,0,R,9079.63,0.436423611
1,0,0,R,5094.25,10.02709491
1,0,0,O,5164.66,1.069722222
2,0,0,R,19306,13.41719907
1,0,0,R,11213,46.34030093
1,0,0,O,4793.63,15.05109954
1,0,0,O,4071.51,1.501238426
1,0,0,O,4071.51,0.375763889
1,0,0,R,7924.37,7.455763889
1,0,0,O,4628.71,0.288159722
1,0,0,R,7924.37,35.50563657
1,0,0,R,11077.12,18.49863426
1,0,0,R,4427.77,1.318784722
1,0,0,R,3873.38,0.237592593
2,0,0,O,9848.4,42.56005787
2,1,0,R,4213,14.31576389
2,0,0,O,8102.76,8.25375
2,0,0,O,8248.38,1.515648148
1,0,0,R,3873.57,11.48938657
1,0,0,R,10153.61,0.089050926
1,0,0,O,4628.71,0.108773148
4,0,0,O,16286.03,12.44472222
1,0,0,R,3801.57,104.343287
1,0,0,O,4051.38,29.24472222
4,0,0,R,36315.92,51.07322917
3,0,0,O,16406.12,24.39783565
1,0,0,O,4681.39,1.370243056
1,0,0,O,4902.2,7.552175926
1,0,0,R,8566.58,31.46101852
3,0,0,R,13284.73,14.06564815
2,0,0,O,9804.4,30.10783565
1,0,0,O,6562.01,4.227708333
1,0,0,R,4539.82,22.07206019
2,0,0,O,10329,36.06880787
1,0,0,O,4681.39,3.937997685
1,0,0,O,5432.71,0.255138889
1,0,0,O,4681.39,2.396099537
2,0,0,R,19439.92,18.3944213
1,0,0,O,5486.11,2.270069444
1,0,0,O,5164.66,3.260277778
1,0,0,O,5164.66,0.521122685
1,0,0,R,10033.22,5.510405093
2,0,0,R,22200.22,35.1421412
1,0,0,R,4427.58,12.36048611
2,0,0,R,20401.2,17.64333333
2,0,0,R,13299.15,7.466736111
1,0,0,R,4539.82,2.963078704
2,2,0,O,8102,14.5124537
1,0,0,R,4540.06,26.23563657
1,0,0,R,4239,19.36368056
2,0,0,R,19406,13.30415509
2,0,0,O,11332.48,3.060462963
1,0,0,R,4428.82,27.39357639
1,0,0,O,5416.71,54.94471065
3,0,0,O,12214.52,2.391643519
3,0,0,R,29105.88,53.0855787
2,0,0,R,15848.75,4.284189815
1,0,0,R,6019.56,2.517210648
1,0,0,R,8428.96,2.350138889
2,0,0,R,15848.75,11.37096065
6,0,0,O,24429.06,9.12943287
1,0,0,O,4071.51,17.89570602
1,0,0,R,4070,12.12709491
1,0,0,O,4071.51,6.264247685
1,0,0,O,4985.09,0.245081019
1,0,0,O,4071.51,3.061423611
1,0,0,O,4051.38,0.273449074
4,0,0,R,7956.1,24.14399306
1,0,0,O,4681.39,0.550034722
1,0,0,R,4139,8.575069444
6,0,0,R,60537.666,1.464756944
1,0,0,O,4950.09,4.945752315
3,0,0,R,24536.46,7.081805556
1,0,0,R,4427.58,1.430856481
2,0,0,R,8856.15,2.680532407
1,0,0,O,4681.39,3.414363426
4,0,0,O,19600.8,0.368310185
2,0,0,O,9587.25,15.12943287
1,0,0,R,4427.58,6.089131944
1,0,0,O,5494.11,3.285011574
1,0,0,R,4539.82,5.483842593
2,1,0,R,9055.95,27.41972222
1,0,0,R,4540.06,20.71270833
2,0,0,O,13536,69.79344907
1,0,0,O,4904.2,18.23863426
2,0,0,R,9079.63,69.14594907
1,0,0,R,9719.96,12.3846875
1,0,0,R,9653,13.47446759
1,0,0,R,4446.77,6.49181713
2,0,0,R,8863.03,3.139247685
1,0,0,R,7924.37,0.142372685
2,0,0,O,8143.02,0.535405093
6,0,0,O,24429.05,17.41711806
1,0,0,R,7924.37,29.06325231
2,0,0,R,17117.94,0.325196759
1,0,0,R,8500.77,24.25028935
1,0,0,R,7924.37,17.61857639
1,0,0,O,4628.71,0.317858796
1,0,0,O,4124.19,169.2711574
1,0,0,R,20321.2,44.15175926
2,0,0,R,8139,40.0699537
2,0,0,R,8139,95.2608912
1,0,0,R,7924.37,0.61931713
2,0,0,O,8143.02,27.21074074
2,0,0,O,8102.76,37.06755787
1,0,0,R,3801.57,2.282650463
1,0,0,R,4076,6.355324074
1,0,0,R,5536.17,6.349722222
1,0,0,R,4139,56.66878472
2,0,0,R,8270,23.34662037
1,0,0,O,4071.51,0.28125
1,0,0,R,3800.76,12.49818287
